Date,name,brand,ean,price,grammage,category,sale,image
2023-11-20,"ja! H-Milch 3,5% 1l",ja!,4337256287968.0,0.99,1l,"Käse, Eier & Molkerei",False,https://img.rewe-static.de/3072549/26121037_digital-image.png
2023-11-20,Zitronen 500g im Netz,,4014183152643.0,0.85,"500g (1 kg = 1,70 €)",International,True,https://img.rewe-static.de/1073678/21306346_digital-image.png
2023-11-20,Orangen 2kg im Netz,,4311527978816.0,3.69,"2kg (1 kg = 1,85 €)",International,False,https://img.rewe-static.de/1057917/23270609_digital-image.png
2023-11-20,Meggle Feine Butter 250g,Meggle,40349558.0,2.79,"250g (1 kg = 11,16 €)","Käse, Eier & Molkerei",False,https://img.rewe-static.de/6656935/32203086_digital-image.png
2023-11-20,ja! Sonnenblumenmargarine 500g,ja!,4388840014873.0,1.49,"500g (1 kg = 2,98 €)","Käse, Eier & Molkerei",False,https://img.rewe-static.de/5805210/24446710_digital-image.png
2023-11-20,Galiamelone 1 Stück,,4327475095246.0,2.99,1 Stück,Obst & Gemüse,False,https://img.rewe-static.de/0020974/24570188_digital-image.png
2023-11-20,ja! Sonnenblumenöl 1l,ja!,4337256539876.0,1.79,1l,"Öle, Soßen & Gewürze",False,https://img.rewe-static.de/6928242/24677567_digital-image.png
2023-11-20,REWE Beste Wahl Feinschmecker Hähnchen 1200g,REWE Beste Wahl,4388860022308.0,5.59,"1200g (1 kg = 4,66 €)",Tiefkühlkost,False,https://img.rewe-static.de/7097929/28149893_digital-image.png
2023-11-20,"Kartoffeln vorwiegend festkochend 2,5kg",,4000874222702.0,1.79,"2,50kg (1 kg = 0,72 €)",Weihnachtswelt,True,https://img.rewe-static.de/8690354/36396209_digital-image.png
2023-11-20,Orangen 2kg im Netz,,4311527978816.0,3.69,"2kg (1 kg = 1,85 €)",Weihnachtswelt,False,https://img.rewe-static.de/1057917/23270609_digital-image.png
2023-11-20,Blumenkohl weiß 1 Stück,,20482336.0,3.99,1 Stück,Weihnachtswelt,False,https://img.rewe-static.de/0482331/7361280_digital-image.png
2023-11-20,ja! Basmati Reis 1kg,ja!,4337256086370.0,2.99,1000g,Kochen & Backen,False,https://img.rewe-static.de/7087342/27710925_digital-image.png
2023-11-20,Zwiebeln 2kg im Netz,,20370428.0,1.99,2kg (1 kg = 1 €),Obst & Gemüse,False,https://img.rewe-static.de/8481433/31572015_digital-image.png
2023-11-20,Zitronen 500g im Netz,,4014183152643.0,0.85,"500g (1 kg = 1,70 €)",Obst & Gemüse,True,https://img.rewe-static.de/1073678/21306346_digital-image.png
